imo,name,ship_type,fuel_kg_per_nm_consumption,c02_kg_per_nm_emissions
5383304,ASTORIA (Passenger ship),Passenger ship,139.07,442.71
6417097,MARCO POLO,Passenger ship,143.81,454.65
6511128,RED STAR 1,Ro-pax ship,54.43,171.31
6602898,OCEAN MAJESTY,Passenger ship,120.93,382.91
6703343,EQUALITY,Other ship types,63.46,199.36
7037806,BOHUS,Ro-pax ship,104.94,336.43
7043843,TALOS (Ro-ro ship),Ro-ro ship,76.87,242.95
7108930,BLACK WATCH,Passenger ship,165.28,520.05
7128332,SEA WIND,Ro-pax ship,83.73,265
7128887,ST DAMIAN,Ro-pax ship,93.33,295.97
7205910,SARDINIA REGINA,Ro-pax ship,114.22,360.3
7211074,EXPEDITION,Passenger ship,62.8,201.34
7218395,BOUDICCA,Passenger ship,160.23,507.91
7224459,RIGEL I,Ro-pax ship,151.88,477.34
7225910,AEGEAN ODYSSEY,Passenger ship,121.08,384.63
7226952,FJARDVAGEN,Ro-ro ship,45.61,146.23
7230599,MARKO POLO,Ro-pax ship,110.86,355.43
7304314,ALBATROS,Passenger ship,159.04,503.68
7305253,CORSICA VICTORIA,Ro-pax ship,99.23,312.93
7310507,FIDELITY,Other ship types,61.04,191.54
7342469,CHL INNOVATOR,Other ship types,92.12,288.96
7346221,SUPERFERRY II,Ro-pax ship,148.7,466.22
7347548,PRINCE,Ro-pax ship,131.74,414.24
7349039,CORSICA MARINA SECONDA,Ro-pax ship,110.74,350.76
7350090,MOBY NIKI,Ro-pax ship,97.37,306.17
7358755,MOBY KISS,Ro-pax ship,106.55,334.78
7359400,SALAMIS FILOXENIA,Passenger ship,115.77,364.6
7360605,MOBY VINCENT,Ro-pax ship,111.95,351.91
7360617,SARDINIA VERA,Ro-pax ship,123.3,390.22
7360681,MOBY BABY TWO,Ro-pax ship,96.33,302.49
7361312,MOBY DREA,Ro-pax ship,223.57,697.87
7361324,MOBY OTTA,Ro-pax ship,205.69,642.53
7382378,GIUSEPPE SA,Ro-pax ship,90.69,284.44
7411961,RAMDANE ABANE,Gas carrier,517.72,1500.1
7422881,YEOMAN BANK,Bulk carrier,99.22,312.53
7516773,GALAXY (Ro-pax ship),Ro-pax ship,220.49,701.01
7521651,EXPRESS PEGASUS,Ro-pax ship,69.54,220.09
7527306,BOI BRANCO,Other ship types,56.91,178.12
7527887,KOPERNIK,Ro-pax ship,75.78,242.96
7529964,GEROITE NA ODESSA,Ro-ro ship,99.52,311.8
7529976,GEROITE NA SEVASTOPOL,Ro-ro ship,135.63,424.62
7531357,NAZLICAN,General cargo ship,40.72,128.77
7531369,NAZLIKIZ,General cargo ship,50.82,160.84
7602120,AURELIA (Ro-pax ship),Ro-pax ship,128.72,405.22
7609697,SOMERSET (Bulk carrier),Bulk carrier,72.54,227.83
7615048,DUBROVNIK,Ro-pax ship,107.53,344.74
7615414,MOBY CORSE,Ro-pax ship,123.95,387.74
7619458,NEXANS SKAGERRAK,Other ship types,460.2,1475.4
7622041,ZEIN I,Other ship types,87.75,274.83
7625811,OCEAN ENDEAVOUR,Passenger ship,110.86,355.43
7633143,POVL ANKER,Ro-pax ship,114.64,367.55
7633155,ECKERO,Ro-pax ship,93.65,300.24
7633375,SUNNANVIK,Bulk carrier,65.54,210.11
7637149,VRONSKIY,Ro-pax ship,136.55,428.23
7802067,FESTIVO,Ro-ro ship,35.15,112.69
7802122,NAZLIM,General cargo ship,39.25,124.03
7802794,GUTE,Ro-pax ship,53.74,170.16
7803190,MOROCCO STAR,Ro-pax ship,133.52,422.39
7803205,KRONPRINS FREDERIK,Ro-pax ship,207.54,655.47
7807744,RIGEL III,Ro-pax ship,300.18,942.11
7813937,BARI,Ro-pax ship,130.34,408.51
7814046,KRITI I,Ro-pax ship,178.24,558.8
7814058,KRITI II,Ro-pax ship,193.42,603.68
7814462,WAWEL,Ro-pax ship,156.55,494.28
7822457,SAGA SAPPHIRE,Passenger ship,191.27,604.12
7826788,RIGEL II,Ro-pax ship,218.01,682.8
7826790,GNV AZZURRA,Ro-pax ship,280.98,885.88
7826855,URD,Ro-pax ship,80.96,255.98
7826867,STENA GOTHICA,Ro-pax ship,81.38,257.42
7827213,CELESTYAL CRYSTAL,Passenger ship,268.89,844.49
7827225,REGINA BALTICA,Ro-pax ship,147.71,463.61
7901265,ROSELLA,Ro-pax ship,125.88,396.66
7901760,STENA EUROPE,Ro-pax ship,136.41,425.85
7904889,BERLIN (Passenger ship),Passenger ship,84.13,269.71
7907245,STENA DANICA,Ro-pax ship,168.39,530.97
7907659,STENA VISION,Ro-pax ship,157.9,497.74
7907661,STENA SPIRIT,Ro-pax ship,149.06,469.72
7907673,EL. VENIZELOS,Ro-pax ship,276.92,864.91
7911533,MOBY DADA,Ro-pax ship,205.22,641.49
