"PORT","COUNTRY","ISEU","LOCODE","LAT","LON","PORT_CALL count"
"Hong Kong","HK",0,"HKHKG",22.31,114.17,41440
"Singapore Port","SG",0,"SGSIN",1.26,103.75,36372
"Shanghai","CN",0,"CNSHA",31.38,121.6,30148
"Kaohsiung","TW",0,"TWKHH",22.58,120.32,19313
"Colon","PA",0,"PAONX",9.35,-79.91,19026
"Rotterdam","NL",1,"NLRTM",51.9,4.49,18985
"Ningbo","CN",0,"CNNGB",29.94,121.88,18591
"Busan","KR",0,"KRPUS",35.1,129.04,16927
"Balboa","PA",0,"PABLB",8.95,-79.57,16049
"Shenzhen","CN",0,"CNSZX",22.5,113.85,15824
"Qingdao","CN",0,"CNTAO",36.06,120.32,14504
"Tianjin","CN",0,"CNTXG",38.94,117.79,14126
"Yokohama","JP",0,"JPYOK",35.41,139.66,13781
"Jebel Ali","AE",0,"AEJEA",25,55.05,13448
"Brunsbuettel","DE",1,"DEBRB",53.94,9.28,13386
"Kiel","DE",1,"DEKEL",54.37,10.15,12899
"Port Klang","MY",0,"MYPKG",2.98,101.36,12640
"Tokyo","JP",0,"JPTYO",35.61,139.83,11787
"Istanbul","TR",0,"TRIST",41.09,29.04,11210
"Hamburg","DE",1,"DEHAM",53.51,9.96,10808
"Xiamen","CN",0,"CNXMN",24.5,118.03,10527
"Kobe","JP",0,"JPUKB",34.69,135.27,9933
"Antwerpen","BE",1,"BEANR",51.3,4.31,9854
"Osaka","JP",0,"JPOSA",34.61,135.44,9815
"Dalian","CN",0,"CNDLC",39,121.76,9612
"Yantian","CN",0,"CNYTN",22.58,114.28,9287
"Yangshan","CN",0,"CNYAN",30.61,122.07,9247
"Tanjung Pelepas","MY",0,"MYTPP",1.39,103.54,9131
"Ho Chi Minh","VN",0,"VNSGN",10.74,106.8,8721
"Bremerhaven","DE",1,"DEBRV",53.55,8.55,8541
"Tai Chung","TW",0,"TWTXG",24.26,120.51,8428
"Fujairah","AE",0,"AEFJR",25.16,56.37,8224
"Nagoya","JP",0,"JPNGO",35.05,136.84,8138
"Port Said","EG",0,"EGPSD",31.24,32.32,7852
"Keelung","TW",0,"TWKEL",25.15,121.75,7657
"Sao Paulo","BR",0,"BRSAO",-23.97,-46.3,7529
"Zhoushan","CN",0,"CNZOS",29.92,122.21,7350
"New Orleans","US",0,"USMSY",29.81,-90.16,7155
"Valencia","ES",1,"ESVLC",39.44,-0.32,6885
"Bangkok","TH",0,"THBKK",13.08,100.86,6823
"Algeciras","ES",1,"ESALG",36.14,-5.43,6528
"Hai Phong","VN",0,"VNHPH",20.67,106.87,6398
"Manila","PH",0,"PHMNL",14.62,120.94,6270
"Guangzhou","CN",0,"CNCAN",23.09,113.43,6227
"Jeddah","SA",0,"SAJED",21.48,39.15,5734
"Jakarta","ID",0,"IDJKT",-6.13,106.85,5716
"Lianyungang","CN",0,"CNLYG",34.79,119.57,5654
"Qinhuangdao","CN",0,"CNSHP",39.83,119.73,5594
"Los Angeles","US",0,"USLAX",33.74,-118.27,5494
"Montreal","CA",0,"CAMTR",45.55,-73.51,5451
"Alexandria","EG",0,"EGALY",31.18,29.88,5445
"Incheon","KR",0,"KRICE",37.44,126.6,5059
"New York","US",0,"USNYC",40.68,-74.08,5038
"Perama","GR",1,"GRPER",37.95,23.59,4739
"Le Havre","FR",1,"FRLEH",49.47,0.15,4682
"Zhangjiagang","CN",0,"CNZJG",31.98,120.42,4369
"Vancouver","CA",0,"CAVAN",49.3,-123.05,4367
"Colombo","LK",0,"LKCMB",6.95,79.85,4291
"San Francisco","US",0,"USSFO",37.77,-122.4,4278
"Felixstowe","GB",1,"GBFXT",51.96,1.3,4254
"Durban","ZA",0,"ZADUR",-29.88,31.03,3993
"Norfolk","US",0,"USORF",36.92,-76.37,3976
"Savannah","US",0,"USSAV",32.12,-81.1,3941
"Tanger-Med","MA",0,"MAPTM",35.9,-5.49,3839
"Marsaxlokk","MT",1,"MTMAR",35.83,14.54,3833
"Tang Shan","CN",0,"CNJIN",39.21,119.01,3831
"St. Petersburg","RU",0,"RULED",59.92,30.33,3749
"Barcelona","ES",1,"ESBCN",41.35,2.16,3701
"Cartagena","CO",0,"COCTG",10.35,-75.53,3696
"Taizhou","CN",0,"CNTZO",32.23,119.89,3629
"Rizhao","CN",0,"CNRZH",35.36,119.53,3605
"Paranagua","BR",0,"BRPNG",-25.5,-48.51,3549
"Yantai","CN",0,"CNYNT",37.57,121.41,3544
"Gibraltar","GI",0,"GIGIB",36.14,-5.36,3514
"Houston","US",0,"USHOU",29.7,-95.11,3467
"Newcastle","AU",0,"AUNTL",-32.9,151.76,3451
"Yingkou","CN",0,"CNYIK",40.27,122.09,3451
"Genova","IT",1,"ITGOA",44.4,8.91,3340
"Sault Ste. Marie","CA",0,"CASSM",46.51,-84.34,3298
"Teipei","TW",0,"TWTPE",25.16,121.39,3276
"Las Palmas","ES",1,"ESLPA",28.14,-15.42,3219
"Manzanillo","MX",0,"MXZLO",19.08,-104.32,3213
"Port Hedland","AU",0,"AUPHE",-20.32,118.58,3046
"Mersin","TR",0,"TRMER",36.8,34.65,3022
"Seattle","US",0,"USSEA",47.62,-122.36,2786
"Haifa","IL",0,"ILHFA",32.83,35,2785
"Fort Lauderdale","US",0,"USFLL",26.14,-80.13,2777
"Hakata","JP",0,"JPHKT",33.63,130.38,2738
"Gioia Tauro","IT",1,"ITGIT",38.45,15.9,2726
"Miami","US",0,"USMIA",25.75,-80.22,2631
"Melbourne","AU",0,"AUMEL",-37.84,144.94,2587
"Constanta","RO",1,"ROCND",44.13,28.68,2584
"Lagos","NG",0,"NGLOS",6.44,3.36,2533
"Zhenjiang","CN",0,"CNZHE",32.21,119.39,2533
"Immingham","GB",1,"GBIMM",53.64,0.19,2508
"Nantong","CN",0,"CNNTG",31.97,120.87,2502
"Richards Bay","ZA",0,"ZARCB",-28.81,32.06,2499
"Rio Grande","BR",0,"BRRIG",-32.09,-52.12,2404
"Charleston","US",0,"USCHS",32.84,-79.92,2383
"Ichihara","JP",0,"JPICH",35.47,140,2362
"San Lorenzo","AR",0,"ARSLO",-32.7,-60.73,2335
"Nhava Sheva","IN",0,"INNSA",18.95,72.95,2323
"Jiangyin","CN",0,"CNJGY",25.43,119.3,2320
"Mundra","IN",0,"INMUN",22.76,69.64,2316
"IJmuiden","NL",1,"NLIJM",52.46,4.6,2266
"Casablanca","MA",0,"MACAS",33.61,-7.6,2236
"Novorossiysk","RU",0,"RUNVS",44.72,37.81,2193
"Fos-sur-Mer","FR",1,"FRFOS",43.42,4.87,2125
"Izmir","TR",0,"TRIZM",38.44,27.1,2115
"Brisbane","AU",0,"AUBNE",-27.42,153.1,2102
"Chennai","IN",0,"INMAA",13.11,80.3,2100
"Tilbury","GB",1,"GBTIL",51.46,0.35,2096
"Sydney","AU",0,"AUSYD",-33.97,151.21,2093
"Puerto Cortes","HN",0,"HNPCR",15.84,-87.95,2078
"Rio de Janeiro","BR",0,"BRRIO",-22.85,-43.18,2055
"Lisboa","PT",1,"PTLIS",38.71,-9.14,2054
"Gothenburg","SE",1,"SEGOT",57.7,11.88,2046
"Guayaquil","EC",0,"ECGYE",-2.28,-79.9,2032
"Caobeidian","CN",0,"",38.95,118.47,2024
"Luozhou","CN",0,"CNLYI",29.74,119.48,2024
"La Spezia","IT",1,"ITSPE",44.1,9.84,2017
"Gdynia","PL",1,"PLGDY",54.53,18.53,2008
"Caucedo","DO",0,"DOCAU",18.43,-69.63,1998
"Dammam","SA",0,"SADMM",26.44,50.15,1991
"Porto deTubarao","BR",0,"BRTUB",-20.29,-40.24,1965
"Venice","IT",1,"ITVCE",45.45,12.25,1964
"Terneuzen","NL",1,"NLTNZ",51.32,3.83,1937
"Baltimore","US",0,"USBAL",39.22,-76.54,1934
"Lanshan","CN",0,"CNLSN",35.06,119.51,1933
"Bandar Abbas","IR",0,"IRBND",27.15,56.24,1924
"Cape Town","ZA",0,"ZACPT",-33.91,18.44,1923
"Longkou","CN",0,"CNLKU",37.64,120.28,1887
